Project Name,Merge Scenarios (MS)
togglz/togglz,56
JakeWharton/salvage,1
logstash/log4j-jsonevent-layout,11
jzy3d/jzy3d-api,22
pierre/meteo,1
jruby/joni,19
ganglia/jmxetric,14
karussell/snacktory,17
kevinsawicki/http-request,3
caelum/vraptor,86
DiUS/java-faker,48
pac4j/pac4j,506
pedrovgs/Algorithms,13
Graphify/graphify,3
wix/petri,17
google/guava,1
sstone/akka-amqp-proxies,1
toomasr/skype-bot,1
koraktor/steam-condenser-java,19
bbeck/token-bucket,4
Findwise/Hydra,114
mikaelhg/urlbuilder,14
tumblr/jumblr,33
mybatis/mybatis-3,341
undera/jmeter-plugins,195
mybatis/spring,112
roboguice/roboguice,103
CorfuDB/CorfuDB,610
martinpaljak/GlobalPlatformPro,5
jparsec/jparsec,36
spring-cloud/spring-cloud-consul,80
lookfirst/sardine,50
penberg/fjord,1
Esri/spatial-framework-for-hadoop,32
Esri/geometry-api-java,43
knightliao/disconf,55
tuenti/SmsRadar,2
google/closure-compiler,274
querydsl/querydsl,761
cglib/cglib,36
caelum/mamute,122
igniterealtime/Openfire,694
devnied/EMV-NFC-Paycard-Enrollment,5
oxo42/stateless4j,25
stephanenicolas/robospice,50
psi-probe/psi-probe,487
OryxProject/oryx,100
sockeqwe/fragmentargs,18
google/guice,73
spotify/docker-maven-plugin,113
ObeoNetwork/UML-Designer,3
google/truth,94
spotify/helios,864
spotify/docker-client,483
xtreemfs/xtreemfs,372
damnhandy/Handy-URI-Templates,29
b3log/solo,322
hcoles/pitest,113
kite-sdk/kite,80
openpnp/openpnp,475
CamelCookbook/camel-cookbook-examples,19
zhangkaitao/es,11
wstrange/GoogleAuth,18
twitter/hpack,4
gwtbootstrap3/gwtbootstrap3,161
plantuml/plantuml,3
ronmamo/reflections,28
guari/eclipse-ui-theme,10
kongchen/swagger-maven-plugin,175
jamesdbloom/mockserver,64
trecloux/yeoman-maven-plugin,4
jsonld-java/jsonld-java,73
spotify/netty-zmtp,13
maxmind/GeoIP2-java,40
bitsofproof/supernode,28
f2prateek/progressbutton,11
gresrun/jesque,33
apache/accumulo,586
airlift/airlift,1
adamfisk/LittleProxy,139
caelum/caelum-stella,41
FasterXML/aalto-xml,7
mfornos/humanize,8
code4craft/webmagic,106
ontop/ontop,1363
TheHolyWaffle/TeamSpeak-3-Java-API,8
jcabi/jcabi-github,245
jreijn/spring-comparing-template-engines,11
ripple/ripple-lib-java,10
Spoutcraft/LegacyLauncher,6
square/seismic,6
ArcBees/GWTP,69
jacoco/jacoco,85
FasterXML/jackson-dataformat-csv,45
square/pollexor,21
restlet/restlet-framework-java,157
square/okhttp,1635
neuland/jade4j,41
pulse00/Symfony-2-Eclipse-Plugin,19
neophob/PixelController,39
smooks/smooks,12
DSpace/DSpace,1398
NLPchina/elasticsearch-sql,141
vavr-io/vavr,1137
nodebox/nodebox,76
mikera/clisk,9
killme2008/Metamorphosis,13
MoriTanosuke/glacieruploader,15
jeluard/semantic-versioning,26
resthub/springmvc-router,29
jOOQ/jOOR,18
graphaware/neo4j-timetree,36
twitter/cloudhopper-smpp,23
RichardWarburton/lambda-behave,18
isaiah/jubilee,12
roundrop/facebook4j,65
CloudSlang/cloud-slang,836
yegor256/s3auth,49
metamx/druid,32
adyliu/zkclient,3
jmock-developers/jmock-library,21
mikera/vectorz,139
FasterXML/jackson-module-jsonSchema,36
julianhyde/optiq,8
fabiomaffioletti/jsondoc,23
cereda/arara,26
pgjdbc/pgjdbc,167
FasterXML/jackson-dataformat-xml,60
lemire/javaewah,37
tinkerpop/frames,34
samskivert/jmustache,5
mpatric/mp3agic,26
redline-smalltalk/redline-smalltalk,72
thelinmichael/spotify-web-api-java,45
shilad/wikibrain,266
codecentric/spring-boot-starter-batch-web,25
clemp6r/futuroid,1
apache/tajo,158
FenixEdu/fenixedu-academic,1005
welovecoding/editorconfig-netbeans,32
greenmail-mail-test/greenmail,54
OpenSOC/opensoc-streaming,25
caskdata/coopr,836
paukiatwee/budgetapp,10
jcabi/jcabi-ssh,6
jmrozanec/cron-utils,201
mesos/storm,113
Kixeye/chassis,6
matlux/jvm-breakglass,5
Tillerino/Tillerinobot,29
alibaba/cobarclient,8
shyiko/mysql-binlog-connector-java,23
SpigotMC/BungeeCord,24
atermenji/IconicDroid,2
davidmoten/geo,9
alexxiyang/shiro-redis,16
robolectric/deckard-maven,9
forge/roaster,22
jcabi/jcabi-http,37
smola/galimatias,7
headissue/cache2k,5
HolmesNL/kafka-spout,11
recommenders/rival,26
aaberg/sql2o,19
kenglxn/QRGen,48
jmkgreen/morphia,25
sarxos/webcam-capture,31
JodaOrg/joda-beans,6
reidarsollid/RustyCage,3
ajermakovics/eclipse-instasearch,9
Atmosphere/atmosphere,282
antlr/antlr4,735
medcl/elasticsearch-analysis-ik,13
apache/flink,3
codecentric/spring-boot-admin,60
justinsb/jetcd,3
